"BN/Registration number","Fiscal period end","Form ID","500","505","510","515","520","525","530","535","540","545","550","555","560","565","580"
"102541786RR0001",2024-12-31 00:00:00,"27",,,"Y",,,,,,,"Y",,,,,$21208.00
"102636636RR0001",2024-4-30 00:00:00,"27",,,,,,,,,,"Y",,,"Y","SPAGHETTI",$2482.00
"102714151RR0001",2024-3-31 00:00:00,"27",,,,,,,"Y",,,,"Y",,,,$1826592.00
"102807245RR0001",2024-3-31 00:00:00,"27",,,,,,,,,,,,"Y","Y","CLOTHING, FOOD, HYGIE",$1600.00
"102843943RR0001",2024-12-31 00:00:00,"27",,,"Y",,,,,,,"Y",,,"Y","Supplies for Repair/Maintenance, Office Supplies",$19727.00
"102918729RR0001",2024-3-31 00:00:00,"27",,,,,,,,,,,,,"Y","NOURRITURE",$2540.00
"102933876RR0001",2024-12-31 00:00:00,"27",,,,,,,,,,,,,"Y","AGENT DE PROMOTION",$2800.00
"102949898RR0001",2024-3-31 00:00:00,"27",,,"Y",,,,,,,,,,"Y","LOCATION DE SALLE",$4837.00
"102950300RR0001",2024-3-31 00:00:00,"27",,,,,,,,,,,,,"Y","Nourriture",$1554.00
"102969227RR0001",2024-4-30 00:00:00,"27",,,,,,,,,,,,,"Y","VEHICLE ALLOWANCE",$5687.00
"102987625RR0001",2024-7-31 00:00:00,"27",,,,,,,,,,,,,"Y","CADEAUX",$889590.00
"103018487RR0001",2024-3-31 00:00:00,"27",,,"Y",,,,,,,,,,"Y","CARTE CADEAU",$280.00
"103047676RR0001",2024-3-31 00:00:00,"27","Y",,"Y",,"Y",,,,,,,"Y",,,$642443.00
"103061511RR0001",2024-3-31 00:00:00,"27",,,"Y",,,,,,,"Y",,,,,$17420.00
"103066064RR0001",2024-6-30 00:00:00,"27",,,,,,,,,,,"Y",,"Y","VOUCHERS AIR CANADA",$23322.00
"103069753RR0001",2024-7-31 00:00:00,"27",,,,,,,,,,,,,"Y","HONORAIRES",$1333.00
"103080321RR0001",2024-12-31 00:00:00,"27",,,,,,,,,,"Y",,,"Y","SOINS PODIATRIQUES, CHIRO.",$2673.00
"103199196RR0001",2024-6-30 00:00:00,"27","Y",,,,,,,,,,,,,,
"103309431RR0001",2024-6-30 00:00:00,"27","Y",,,,,,,,,,,,,,$41775.00
"103378725RR0001",2024-3-31 00:00:00,"27",,,"Y",,,,,,,,"Y",,,,$133390.00
"103402186RR0001",2024-6-30 00:00:00,"27",,,,,,,"Y",,,,,,,,$26452.00
"103463600RR0001",2024-3-31 00:00:00,"27",,"Y","Y",,,,,,,,,,,,$3443.00
"103464889RR0001",2024-3-31 00:00:00,"27",,,"Y",,,,,,,,,,"Y","SERVICES ET PROD. ENT.",$2215.00
"103741757RR0001",2024-3-31 00:00:00,"27",,,"Y",,,,,,,,"Y",,,,$7236776.00
"103811303RR0001",2024-12-31 00:00:00,"27",,,,,,,,,,,,,"Y","DONS OBJET DE COLLECTI",$419815.00
"103811345RR0001",2024-3-31 00:00:00,"27","Y",,,,,,,,,,,,,,$17050.00
"103811386RR0001",2024-12-31 00:00:00,"27","Y",,,,,,,,,,,,,,$3350.00
"103838223RR0001",2024-3-31 00:00:00,"27","Y",,"Y",,,,,,,,,,"Y","POSTERS, XMAS GIFTS",$380597.00
"103920930RR0001",2024-3-31 00:00:00,"27",,,,,,,,,,,,,"Y","FUNDRAISING ITEMS",$488.00
"103933909RR0001",2024-6-30 00:00:00,"27",,,,,,,,,,,,,"Y","GROCERY GIFT CARDS",$3000.00
"103966628RR0002",2024-3-31 00:00:00,"27",,,,,,,,,,,,,"Y","Land",$43300000.00
"103982492RR0001",2024-3-31 00:00:00,"27",,,,,,,,,,,,,"Y","ADMIN",$190.00
"104004569RR0001",2024-8-31 00:00:00,"27","Y",,,,,,,,,,"Y",,,,$423445.00
"104010830RR0001",2024-6-30 00:00:00,"27",,,,,,,,,,,,,"Y","GIFTS",$37615.00
"104014394RR0001",2024-10-31 00:00:00,"27",,,,,,,,,,,"Y",,,,$5462030.00
"104016910RR0001",2024-3-31 00:00:00,"27",,,"Y",,,,,"Y",,,,,,,$1912.00
"104110465RR0001",2024-12-31 00:00:00,"27",,,"Y",,,,,,,,,,,,$3330.00
"104125323RR0001",2024-12-31 00:00:00,"27",,,,,,,,,,,,,,,$286052.00
"104248513RR0001",2024-3-31 00:00:00,"27",,,"Y",,,,,,,,,,"Y","JEUX POUR ENFANTS",$1471.00
"104294954RR0001",2024-3-31 00:00:00,"27",,,,,,,,,,,,,"Y","SERVICES",$1500.00
"104455811RR0001",2024-3-31 00:00:00,"27",,,,,,,,"Y",,,,,,,$950.00
"104631825RR0001",2024-3-31 00:00:00,"27",,,,,,,,,,,,,"Y","FOOTBALL TICKETS",$1500.00
"104635966RR0001",2024-6-30 00:00:00,"27","Y",,,,,,,,,,,,"Y","Purchased gift cards",$490.00
"104705942RR0001",2024-12-31 00:00:00,"27",,,,,,,,,"Y",,,,,,$880000.00
"104832407RR0001",2024-3-31 00:00:00,"27",,,,,,,,"Y",,,,,,,$8737.00
"104872304RR0001",2024-3-31 00:00:00,"27","Y",,"Y",,,,,,"Y",,"Y",,,,$122534.00
"104911961RR0001",2024-12-31 00:00:00,"27","Y",,,,,,,,,,,,,,$30232.00
"104914247RR0001",2024-12-31 00:00:00,"27",,,,,,,,,,"Y",,,,,$500.00
"105005805RR0001",2024-7-31 00:00:00,"27",,,,,,,,,,,"Y",,,,$661971.00
"105198873RR0001",2024-3-31 00:00:00,"27","Y",,"Y",,,,,"Y",,"Y",,"Y",,,$34071.00
"105200430RR0001",2024-12-31 00:00:00,"27","Y",,,,,,,,,,,,"Y","SPA, TICKET, MINI READ",$14101.00
"105202501RR0001",2024-3-31 00:00:00,"27","Y",,,,,,,,,,,,"Y","SMALL ITEMS FOR SALE",$126084.00
"105212229RR0001",2024-6-30 00:00:00,"27",,,,,,,,,,,,,"Y","FLOWERS",$90.00
"105215024RR0001",2024-12-31 00:00:00,"27",,,,,,,"Y",,,,"Y",,"Y","WHEELCHAIR, DISHES",$25933.00
"105240485RR0001",2024-12-31 00:00:00,"27","Y",,"Y",,,,,,,"Y","Y",,"Y",,$10400.00
"105248637RR0001",2024-12-31 00:00:00,"27",,,,,,,,,,,"Y",,,,$12243.00
"105252340RR0001",2024-5-31 00:00:00,"27","Y",,,,,,,,,,,,"Y","VARIOUS AUCTION ITEMS",$12877.00
"105252845RR0001",2024-6-30 00:00:00,"27",,,,,,,,,,,"Y",,"Y","GIK DONATION",$21449.00
"105255152RR0001",2024-6-30 00:00:00,"27",,,,,,,,,,,"Y",,,,$25330.00
"105255335RR0001",2024-6-30 00:00:00,"27","Y",,,,,,,,,,"Y",,,,$2897167.00
"105260525RR0001",2024-3-31 00:00:00,"27","Y",,,,,,,,,,,,,,$664910.00
"105260673RR0001",2024-5-31 00:00:00,"27",,,,,,,,,,,,,"Y","Musical Instruments",$10000.00
"105285019RR0001",2024-3-31 00:00:00,"27",,,,,,,,,,,,,,,$55513.00
"105330146RR0001",2024-3-31 00:00:00,"27",,,"Y",,,,,,,"Y",,"Y","Y","JOUETS, MAT. SCOLAIRE.",$5159.00
"105428023RR0001",2024-12-31 00:00:00,"27",,,,,,,,,,"Y",,,,,$1280.00
"105531255RR0001",2024-3-31 00:00:00,"27",,,,,,,,,,"Y",,,,,$765.00
"105553127RR0001",2024-3-31 00:00:00,"27",,"Y",,,,,,,,,,,,,$2061.00
"105629497RR0001",2024-10-31 00:00:00,"27",,,,,,,,,,,,,"Y","Gift Box and Pottery",$220.00
"105645196RR0001",2024-3-31 00:00:00,"27",,,,,,,,,,,,,"Y","ALIMENTATION",$23649.00
"105674147RR0001",2024-6-30 00:00:00,"27",,,,,,,,,,,,,"Y",,$5013.00
"106422421RR0001",2024-3-31 00:00:00,"27",,,,,,,,"Y",,,,,"Y","DONATION IN KIND",$3312.00
"106679178RR0001",2024-12-31 00:00:00,"27",,,,,,,,,,,,,"Y","AGRICULTURAL PRODUCT",$1408.00
"106680820RR0001",2024-12-31 00:00:00,"27",,,,"Y",,,,,,,,,"Y","READY MADE SOUP",$98920.00
"106680861RR0001",2024-12-31 00:00:00,"27",,"Y","Y",,,,,,,"Y",,,"Y","USE OF PORTA POTTY, CONCRETE REMOVAL, PAVING",$35548.00
"106681364RR0001",2024-6-30 00:00:00,"27",,,,,"Y",,,,,,,,,,$60000.00
"106681893RR0001",2024-3-31 00:00:00,"27","Y",,,,,,,,,,"Y",,"Y","BOOKS, JOURNALS",$816073.00
"106682024RR0001",2024-3-31 00:00:00,"27",,,"Y",,,,,,,,,,"Y","GIFTS CARDS",$549.00
"106684533RR0001",2024-3-31 00:00:00,"27",,,"Y",,,,,"Y",,,,"Y","Y","TOYS, SCHOOL SUPPLIES, PERSONAL ESSENTIALS",$12737.00
"106685613RR0001",2024-12-31 00:00:00,"27",,"Y",,,,,,,,,,,"Y","Food for charity dinners",$265.00
"106686603RR0001",2024-12-31 00:00:00,"27",,,,,,,,,,,,,"Y","UTILITIES, SUPPLIES & SERVICES",$8702.00
"106687833RR0001",2024-12-31 00:00:00,"27",,,"Y",,,,,"Y",,,,,"Y","HAIRCUTS ETC",$122544.00
"106687882RR0001",2024-2-28 00:00:00,"27",,"Y",,,,,,,,,,,"Y","BEEF; FISHING TRIP",$10375.00
"106688377RR0001",2024-3-31 00:00:00,"27",,,,,,,,,,,,,"Y","TOOTHPASTE AND BRUSHES",
"106688641RR0001",2024-12-31 00:00:00,"27",,,"Y",,,,,,,,,,"Y","GROCERIES",$32808.00
"106690241RR0001",2024-3-31 00:00:00,"27",,,,,,,,,,,,,"Y","GIFT CARDS/TOYS",$570.00
"106691066RR0001",2024-6-30 00:00:00,"27",,,,,,,,,,,,,"Y","BEAUTY PRODUCTS",$2067.00
"106691868RR0001",2024-8-31 00:00:00,"27",,,,,,,,,,,,,"Y","SNOW SHOVEL/ TATTOO SERVICES/ C",$560.00
"106691876RR0001",2024-12-31 00:00:00,"27",,,,,,,,,,,,,"Y","CANON IMAGE RUNNER",$5936.00
"106692981RR0001",2024-6-30 00:00:00,"27",,,,,,,,,,"Y",,,,,$1250.00
"106693047RR0001",2024-12-31 00:00:00,"27",,"Y","Y",,,,,,,,,,"Y","Sound and computer equipment",$41464.00
"106693088RR0001",2024-3-31 00:00:00,"27","Y",,,,,,,,,,,,,,$1480.00
"106694169RR0001",2024-10-31 00:00:00,"27",,,,,,,,"Y",,,"Y",,"Y","Antique dresser, 2 nights hotel stay",$140404.00
"106694888RR0001",2024-6-30 00:00:00,"27",,,,,,,,,,,,,"Y","CLASSROOM SUPPLIES, FRAME FOR A PRINT AND TOYS",$414.00
"106702251RR0001",2024-3-31 00:00:00,"27","Y",,,,,,,"Y",,,"Y",,"Y","COSMETICS",$10164100.00
"106703036RR0001",2024-12-31 00:00:00,"27",,,"Y",,,,,,,,"Y",,,,$285457.00
"106704620RR0001",2024-3-31 00:00:00,"27",,,"Y",,,,,,,,,,,,$200.00
"106705262RR0001",2024-3-31 00:00:00,"27",,,,,,,"Y",,,,"Y",,"Y","Toys & Stationary items for Walk",$470635.00
"106705338RR0001",2024-3-31 00:00:00,"27",,,,,,,,,,,,,"Y","Toy Train sets, Household signs, BBQ Brushes, Gloves & Toolboxes",$589.00
"106705346RR0001",2024-3-31 00:00:00,"27","Y",,,,,,"Y",,,,,,"Y","Room rental",$1700.00
"106705353RR0001",2024-3-31 00:00:00,"27","Y",,"Y",,,,"Y",,,"Y","Y",,"Y",,$39233.00
"106705379RR0001",2024-3-31 00:00:00,"27",,,,,,,"Y",,,,"Y",,,,$61915.00
"106706203RR0001",2024-12-31 00:00:00,"27",,,,,,,,,,,"Y",,"Y","Blue Jays Suite",$12361.00
"106708076RR0001",2024-12-31 00:00:00,"27",,"Y","Y",,,,,,,"Y",,"Y","Y","Printing done",$6144.00
"106708977RR0002",2024-12-31 00:00:00,"27",,,,,,,"Y","Y",,,,,,,$536724.00
"106708985RR0001",2024-12-31 00:00:00,"27","Y",,,,,,"Y","Y","Y",,,,,,$309255.00
"106712748RR0002",2024-12-31 00:00:00,"27",,"Y","Y",,,,,,,,,,"Y","PROGRAM SUPPLIES",$2086.00
"106713423RR0001",2024-12-31 00:00:00,"27",,,,,,,,,"Y",,,,,,$3546.00
"106714819RR0001",2024-3-31 00:00:00,"27",,,,,,,,,,,,"Y","Y","CD, AUDIOBOOKS",$2557.00
"106716525RR0001",2024-3-31 00:00:00,"27",,,,,,,,,,,,,,,$36182.00
"106718919RR0001",2024-12-31 00:00:00,"27",,"Y","Y",,,,,,,,,,"Y","Gift Card for local charity, A/V equipment, Administration Software, Delivery Charges,",$6048.00
"106718943RR0001",2024-12-31 00:00:00,"27","Y",,,,,,,,,,,,,,$2975.00
"106719917RR0001",2024-3-31 00:00:00,"27",,,,,,,,,,"Y",,,,,$16200.00
"106720253RR0001",2024-12-31 00:00:00,"27",,,,,,,"Y",,,,"Y",,,,$19923.00
"106721434RR0001",2024-12-31 00:00:00,"27",,,,,,,,,,,"Y",,,,$12147.00
"106721806RR0001",2024-12-31 00:00:00,"27",,,"Y",,,,,,,"Y",,,"Y","Office supplies",$3998.00
"106722044RR0001",2024-4-30 00:00:00,"27",,,,,,,,,,,,,"Y","SUPPLIES",$138.00
"106727514RR0001",2024-12-31 00:00:00,"27",,,"Y",,,,,,,"Y",,,,,$11950.00
"106728918RR0001",2024-3-31 00:00:00,"27",,,,,,,,,,,,,"Y","Christmas gifts for youth (donated with receipts of purchase)",$1517.00
"106729288RR0001",2024-6-30 00:00:00,"27",,,,,,,,,,,"Y",,,,$67587.00
"106731656RR0001",2024-12-31 00:00:00,"27","Y",,"Y",,,,,,,,,,"Y","SERV. PROF ET DÉPLACEM",$67964.00
"106731987RR0001",2024-3-31 00:00:00,"27",,,,,,,,,,,,,"Y","FABRICS,CRAFTING ITEMS",$800.00
"106732969RR0001",2024-3-31 00:00:00,"27",,,"Y",,,,,,,,,,,,$250.00
"106734338RR0001",2024-12-31 00:00:00,"27","Y",,"Y",,,,,,,"Y",,"Y","Y","Forfait et fourniture de pêche",$3160.00
"106735129RR0001",2024-10-31 00:00:00,"27",,,,,,,,,,,,,,,$1512.00
"106735830RR0001",2024-3-31 00:00:00,"27",,,,,,,,,,"Y",,,,,$4500.00
"106735962RR0001",2024-6-30 00:00:00,"27","Y",,"Y","Y",,,,,,,,,"Y","Event Tickets",$67017.00
"106736101RR0001",2024-3-31 00:00:00,"27",,,"Y",,,,,,,,,,"Y","ART SUPPLIES",$18092.00
"106736150RR0001",2024-6-30 00:00:00,"27",,,,,,,"Y",,,,"Y","Y",,,$547036.00
"106736283RR0001",2024-12-31 00:00:00,"27",,,,,,,,,,,,,"Y","Food Items and Fundraising Supplies",$472.00
"106773575RR0001",2024-3-31 00:00:00,"27",,,,,,,"Y",,,,,,,,$261.00
"106773740RR0001",2024-9-30 00:00:00,"27",,"Y",,,,,,,,"Y",,,"Y","MEAT GIFT CERTIFICATE, TURKEY",$850.00
"106776495RR0002",2024-3-31 00:00:00,"27","Y",,,,,,,,,,,,,,$28664.00
"106778129RR0001",2024-3-31 00:00:00,"27",,,"Y",,,,,,,,,,,,$845.00
"106779622RR0001",2024-12-31 00:00:00,"27",,,,,,,,,,,,,"Y","FUNDRAISING SUPPLIES DONATED THAT WULD O/W BE REIMBURSED",$117.00
"106779846RR0001",2024-12-31 00:00:00,"27",,"Y",,,,,,,,,,,"Y","MAINTENANCE & SERVICES",$2358.00
"106779879RR0001",2024-12-31 00:00:00,"27","Y",,"Y",,,,,,,,,"Y",,,$30091.00
"106780711RR0001",2024-9-30 00:00:00,"27",,,,,,,,,,,,,"Y","SIGNAGE.MAINTENANCE",$425.00
"106780927RR0001",2024-9-30 00:00:00,"27",,,,,,,,,,,,,"Y","WHEAT SEED + TRACKING OF WHEAT",$5840.00
"106783053RR0001",2024-12-31 00:00:00,"27","Y",,,,,,,,,,,,,,$24694.00
"106783343RR0001",2024-12-31 00:00:00,"27",,,,,,,,,,,"Y",,,,$16160.00
"106785553RR0001",2024-12-31 00:00:00,"27",,,,,,,,,,,,,"Y","DIRT FOR BUILDING UP THE PARKING LOT",$5000.00
"106787856RR0001",2024-6-30 00:00:00,"27","Y",,,,,,,,,,"Y",,,,$516617.00
"106788235RR0001",2024-12-31 00:00:00,"27",,"Y","Y",,,,,,,,,,,,$3650.00
"106788342RR0001",2024-12-31 00:00:00,"27",,,,,,,,,,,"Y",,,,$17305.00
"106788649RR0001",2024-9-30 00:00:00,"27",,,"Y",,,,,,,,,,"Y","Program supplies, Industrial coffee machine, kitchen supplies",$1164.00
"106788847RR0001",2024-6-30 00:00:00,"27",,,,,,,,,,"Y",,,"Y","LAND AND BUILDING",$7367750.00
"106789100RR0001",2024-6-30 00:00:00,"27",,,,,,,,,,,"Y",,,,$10000.00
"106789118RR0001",2024-12-31 00:00:00,"27",,,,,,,,,,,"Y",,,,$5052.00
"106789894RR0001",2024-12-31 00:00:00,"27",,,,"Y",,,,,,,,,"Y","office supplies, sunday school supplies, some food items",$12011.00
"106789928RR0001",2024-3-31 00:00:00,"27",,,,,,,,,,,,,"Y","VARIOUS (AUCTION)",$246.00
"106790249RR0001",2024-12-31 00:00:00,"27",,,"Y",,,,,,,,,,,,$3320.00
"106790447RR0001",2024-6-30 00:00:00,"27",,,,,,,,,,,,,"Y",,$3285.00
"106792120RR0001",2024-12-31 00:00:00,"27",,"Y","Y",,,,,,,,,,"Y","LANDSCAPING AND SUPPLIES",$9664.00
"106792575RR0001",2024-12-31 00:00:00,"27",,,,,,,,,,,,"Y",,,$539.00
"106792971RR0001",2024-12-31 00:00:00,"27",,,,,,,,,,,,,,,$3108.00
"106792989RR0001",2024-3-31 00:00:00,"27",,,,,,,,,,,,,"Y","TICKETS, GIFT CERTS",$9642.00
"106793144RR0001",2024-6-30 00:00:00,"27",,,,,,,,,,,,,"Y","Sports Concert tickets/Optimist Hill",$5843.00
"106793243RR0001",2024-4-30 00:00:00,"27",,,,,,,,,,,,,"Y","CHRISTMAS GIFS FOR FAMILIES/CLIENTS",$1998.00
"106793409RR0001",2024-12-31 00:00:00,"27",,,,,,,,,,,,,"Y","EVENT TICKET",$995.00
"106793433RR0001",2024-12-31 00:00:00,"27","Y",,,,,,,,,,,,,,$850.00
"106793458RR0001",2024-12-31 00:00:00,"27",,,,,,,,,,,,,"Y","SUPPLIES, REPAIRS",$4507.00
"106793540RR0001",2024-6-30 00:00:00,"27",,,"Y",,,,,,,,,,"Y","HOCKEY TICKETS, EVENT VENUE RENTAL",$75179.00
"106793722RR0001",2024-7-31 00:00:00,"27",,,,,,,,,,,,,"Y","EVENT TICKETS",$11935.00
"106794431RR0001",2024-12-31 00:00:00,"27",,,,,,,,,,,"Y",,"Y","GIFT CARDS, HOCKEY & EVENT TICKETS",$23068.00
"106794548RR0001",2024-3-31 00:00:00,"27","Y",,,,,,,,,,,,"Y","TKTS TO SPORTS/MUSIC/ COMMUNITY EVENTS",$7542.00
"106795891RR0001",2024-12-31 00:00:00,"27",,"Y",,"Y",,,,,,"Y",,,"Y","Horse, horse services",$18976.00
"106796535RR0001",2024-4-30 00:00:00,"27","Y",,,,,,,,,,,"Y",,,$31130.00
"106799927RR0001",2024-6-30 00:00:00,"27","Y",,"Y","Y",,,,,,"Y",,"Y","Y","musical instruments",$36572.00
"106801657RR0001",2024-3-31 00:00:00,"27",,,"Y",,,,,,,,,,"Y","GARBAGE BINS",$5393.00
"106803687RR0001",2024-8-31 00:00:00,"27",,,"Y",,,,,,,"Y",,,"Y","SPORTS EQUIPMENT",$27812.00
"106803950RR0001",2024-12-31 00:00:00,"27",,,,,,,,,,,,,"Y","KNITTED BEARS",$200.00
"106804628RR0001",2024-12-31 00:00:00,"27",,,"Y",,,,,,,"Y",,,,,$3136.00
"106804644RR0001",2024-12-31 00:00:00,"27","Y",,"Y",,,,,,,,,,,,$26000.00
"106804651RR0001",2024-12-31 00:00:00,"27",,,,,,,,,,,,,"Y","TICKETS AND TRAVEL VOUCHER",$5800.00
"106804669RR0001",2024-3-31 00:00:00,"27","Y",,,,,,,,,,,"Y","Y","PROGRAM SUPPLIES, GIFT CARDS, EVENT TICKETS",$4991.00
"106805120RR0001",2024-12-31 00:00:00,"27",,,"Y",,,,,,,"Y",,,"Y","SPORTS BACKPACKS FOR KIDS",$36445.00
"106806995RR0002",2024-8-31 00:00:00,"27",,,,,,,,,,,,,"Y","Equipment",$10405.00
"106808207RR0001",2024-6-30 00:00:00,"27",,,,,,,,,,,,"Y","Y","SPONSORED ACTIVITIES",$7359.00
"106808314RR0001",2024-8-31 00:00:00,"27",,,"Y",,,,,,,,,,"Y","Water bottle, door hangers, herbal teas, candles, bath emersion kit, essential oils, skipping rope, chalk marker pens, modelling clay, paver stones, etc.",$635.00
"106808462RR0001",2024-4-30 00:00:00,"27",,,,,,,,,,,"Y",,,,$14728.00
"106810807RR0001",2024-12-31 00:00:00,"27",,"Y","Y",,,,,,,"Y",,,"Y",,$1285.00
"106811052RR0001",2024-10-31 00:00:00,"27",,,,,,,,,,,,,"Y","BOATS",$40500.00
"106811896RR0001",2024-3-31 00:00:00,"27",,,,,,,,,,,,,"Y","SUPPLIES",$46384.00
"106813876RR0001",2024-12-31 00:00:00,"27",,,,,,,,,,,,,"Y","storage, prizes, advertizing",$2329.00
"106814429RR0001",2024-3-31 00:00:00,"27",,,,,,,,,,,,,"Y","PRODUCTION SERVICES",$29375.00
"106814692RR0001",2024-12-31 00:00:00,"27",,,,,,,,,,"Y",,,,,$800.00
"106815137RR0001",2024-8-31 00:00:00,"27",,,"Y",,,,,,,,"Y",,,,$16185.00
"106817430RR0001",2024-12-31 00:00:00,"27",,,,,,,,,,,,,"Y","VACUUM",$469.00
"106818974RR0001",2024-8-31 00:00:00,"27",,,"Y",,,,,,,"Y",,,,,$658.00
